turma,aluno_id,Cr,Disciplina em Sala de Aula,Participação em Atividades,Relacionamento Interpessoal,Cq
Integrado em ADM - 2019.1,258,7.8999999999999995,4.470588235294118,4.323529411764706,4.323529411764706,4.372549019607843
Integrado em ADM - 2019.1,259,8.372222222222224,4.588235294117647,4.411764705882353,4.5588235294117645,4.519607843137255
Integrado em ADM - 2019.1,260,8.416666666666666,4.176470588235294,4.294117647058823,4.529411764705882,4.333333333333333
Integrado em ADM - 2019.1,261,7.444444444444443,4.676470588235294,4.0588235294117645,4.294117647058823,4.3431372549019605
Integrado em ADM - 2019.1,262,7.51111111111111,4.735294117647059,3.8823529411764706,3.8529411764705883,4.1568627450980395
Integrado em ADM - 2019.1,263,7.672222222222222,4.852941176470588,4.4411764705882355,4.5588235294117645,4.617647058823529
Integrado em ADM - 2019.1,264,8.86111111111111,4.882352941176471,4.676470588235294,4.794117647058823,4.784313725490196
Integrado em ADM - 2019.1,265,8.472222222222221,5.0,4.882352941176471,4.882352941176471,4.921568627450981
Integrado em ADM - 2019.1,266,8.644444444444444,4.735294117647059,4.5,4.647058823529412,4.627450980392157
Integrado em ADM - 2019.1,267,7.5,4.647058823529412,4.088235294117647,4.235294117647059,4.323529411764706
Integrado em ADM - 2019.1,268,8.366666666666667,4.882352941176471,4.617647058823529,4.823529411764706,4.7745098039215685
Integrado em ADM - 2019.1,269,7.572222222222223,4.352941176470588,4.176470588235294,4.5588235294117645,4.362745098039215
Integrado em ADM - 2019.1,270,7.605555555555556,4.470588235294118,4.029411764705882,4.235294117647059,4.245098039215686
Integrado em ADM - 2019.1,271,7.744444444444444,4.264705882352941,4.088235294117647,4.4411764705882355,4.264705882352941
Integrado em ADM - 2019.1,272,7.666666666666665,4.794117647058823,4.088235294117647,4.117647058823529,4.333333333333333
Integrado em ADM - 2019.1,273,7.633333333333332,4.088235294117647,4.0588235294117645,4.147058823529412,4.098039215686274
Integrado em ADM - 2019.1,274,7.972222222222222,4.647058823529412,4.5,4.470588235294118,4.5392156862745106
Integrado em ADM - 2019.1,275,7.877777777777776,4.705882352941177,4.235294117647059,4.4411764705882355,4.46078431372549
Integrado em ADM - 2019.1,276,7.9722222222222205,4.470588235294118,4.029411764705882,4.235294117647059,4.245098039215686
Integrado em ADM - 2019.1,277,1.35,3.5294117647058822,3.264705882352941,3.2941176470588234,3.3627450980392157
Integrado em ADM - 2019.1,278,8.377777777777778,4.647058823529412,4.235294117647059,4.5,4.46078431372549
Integrado em ADM - 2019.1,279,7.133333333333334,4.4411764705882355,4.147058823529412,4.323529411764706,4.303921568627452
Integrado em ADM - 2019.1,280,7.316666666666666,4.5,4.029411764705882,4.0588235294117645,4.196078431372549
Integrado em ADM - 2019.1,281,7.966666666666665,4.147058823529412,4.176470588235294,4.382352941176471,4.235294117647059
Integrado em ADM - 2019.1,282,8.522222222222222,4.794117647058823,4.588235294117647,4.735294117647059,4.705882352941177
Integrado em ADM - 2019.1,283,7.827777777777778,4.823529411764706,4.411764705882353,4.735294117647059,4.656862745098039
Integrado em ADM - 2019.1,284,7.522222222222221,4.735294117647059,4.147058823529412,4.470588235294118,4.450980392156863
Integrado em ADM - 2019.1,285,8.944444444444445,4.794117647058823,4.529411764705882,4.647058823529412,4.6568627450980395
Integrado em ADM - 2019.1,286,6.949999999999999,4.382352941176471,3.8529411764705883,4.0,4.07843137254902
Integrado em ADM - 2019.1,287,7.311111111111113,3.9411764705882355,3.8529411764705883,4.205882352941177,4.0
Integrado em AGRO - 2019.1,17,7.159090909090907,4.053191489361702,3.702127659574468,3.8404255319148937,3.8652482269503547
Integrado em AGRO - 2019.1,18,7.572727272727275,3.8297872340425534,3.5319148936170213,3.6914893617021276,3.684397163120567
Integrado em AGRO - 2019.1,21,7.027272727272727,3.627659574468085,3.574468085106383,3.6808510638297873,3.627659574468085
Integrado em AGRO - 2019.1,23,5.668181818181819,3.6595744680851063,3.4361702127659575,3.4574468085106385,3.517730496453901
Integrado em AGRO - 2019.1,28,7.299999999999998,3.5319148936170213,3.3191489361702127,3.4893617021276597,3.446808510638298
Integrado em AGRO - 2019.1,33,7.172727272727272,3.9468085106382977,3.7872340425531914,3.9148936170212765,3.882978723404255
