uf,data,preco_medio,desvio_padrao
PIAUI,2008-09-14,2.622,0.05
PIAUI,2008-09-21,2.5980000000000003,0.055
PIAUI,2008-09-28,2.5980000000000003,0.062
PIAUI,2008-10-05,2.637,0.042
PIAUI,2008-10-12,2.617,0.052000000000000005
PIAUI,2008-10-19,2.612,0.045
PIAUI,2008-10-26,2.657,0.033
PIAUI,2008-11-02,2.659,0.027000000000000003
PIAUI,2008-11-09,2.658,0.027000000000000003
PIAUI,2008-11-16,2.659,0.027000000000000003
PIAUI,2008-11-23,2.658,0.033
PIAUI,2008-11-30,2.65,0.032
PIAUI,2008-12-07,2.637,0.04
PIAUI,2008-12-14,2.608,0.056
PIAUI,2008-12-21,2.591,0.061
PIAUI,2008-12-28,2.589,0.061
PIAUI,2009-01-04,2.5610000000000004,0.075
PIAUI,2009-01-11,2.532,0.094
PIAUI,2009-01-18,2.5660000000000003,0.078
PIAUI,2009-01-25,2.535,0.08900000000000001
PIAUI,2009-02-01,2.533,0.091
PIAUI,2009-02-08,2.607,0.05
PIAUI,2009-02-15,2.603,0.049
PIAUI,2009-02-22,2.603,0.053
PIAUI,2009-03-01,2.584,0.059
PIAUI,2009-03-08,2.576,0.064
PIAUI,2009-03-15,2.632,0.066
PIAUI,2009-03-22,2.608,0.044
PIAUI,2009-03-29,2.562,0.07200000000000001
PIAUI,2009-04-05,2.533,0.08900000000000001
PIAUI,2009-04-12,2.517,0.097
PIAUI,2009-04-19,2.52,0.103
PIAUI,2009-04-26,2.5610000000000004,0.08800000000000001
PIAUI,2009-05-03,2.604,0.057
PIAUI,2009-05-10,2.604,0.054000000000000006
PIAUI,2009-05-17,2.597,0.058
PIAUI,2009-05-24,2.594,0.058
PIAUI,2009-05-31,2.594,0.055
PIAUI,2009-06-07,2.592,0.054000000000000006
PIAUI,2009-06-14,2.571,0.046
PIAUI,2009-06-21,2.557,0.056
PIAUI,2009-06-28,2.482,0.103
PIAUI,2009-07-05,2.468,0.11
PIAUI,2009-07-12,2.523,0.103
PIAUI,2009-07-19,2.55,0.06
PIAUI,2009-07-26,2.537,0.064
